displayUrl,caption,ownerFullName,ownerUsername,url,commentsCount,firstComment,likesCount,timestamp,queryTag
,,,,https://www.instagram.com/Meagnunez,,,,,
https://instagram.fdac27-1.fna.fbcdn.net/v/t51.2885-15/515252987_18085164028808722_190159178008444594_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fdac27-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QEZcbE2sk2tQk30CgKC0MfjcRPB3BtFbvQKGGku-zeAh5eY6dy10OrFvqQVpPMzoyU&_nc_ohc=AmtqoPDoveoQ7kNvwETCD2l&_nc_gid=5qgMAkrXVVkqYU1vJSMW4w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfUK78oxl4k8vIH5BrtwyDU4Z1Fh8nkei9Oc_qHn5yGd5w&oe=689D0DC8&_nc_sid=10d13b,"2025 Studio Tour 🖥️🎥🪴

Really proud of this space! Love how it’s turning out. 

#studiotour #studio #contentcreator #homeoffice",Leo Keller,leokellr,https://www.instagram.com/p/DLsSG5rNKwK/,27,🔥,1858,2025-07-04T16:07:54.000Z,
https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/525490262_17854205733489946_5684393461438689964_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QFa4cGdsNXSMsN6Su_nVIqkYJaQbB5qHVbQV0aV06dmwuGPP-h6gQu2KsuXztKSo_M&_nc_ohc=-4ooEjVayS8Q7kNvwFV2dn7&_nc_gid=21eqLtHC89ybmmHFUHOUvw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfVDI9sMm0xEKGtSZlrs8EwRZVP9ze8wEge6M-fankcz4Q&oe=689D0D9D&_nc_sid=10d13b,"a few startup fundraises from last week (07/29)

🎬 @moonvalleyai @brynmooser @mateuszmalinowskiai @nlyonne $84M series B: generative AI for ethical video production
🤖 @asylonrobotics $26M series B: robotic perimeter security platform
🔐  @trust_vanta @christina $150M series C: trust infrastructure for AI and compliance era 

#startups #techjobs #filmmaking #hollywood #aimovie #veo3 #movieclips #compliance #security #aiartist #sora #startupjob #philly #losangeles #soc2",ZAUEY,zauey.talks,https://www.instagram.com/p/DMt_k1asTFD/,4,When did we replace ‘legal’ with ‘ethical’?,1137,2025-07-30T04:33:59.000Z,
https://scontent-msp1-1.cdninstagram.com/v/t51.2885-15/528261045_1787291688554074_1388436689863516030_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-msp1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QEhOwPxQQfBOKFlC-Lwww8zLSWHDy7lUJf3eD5VcCk8MAKEATq5ysy5gejH-kDiJ6U&_nc_ohc=bw3K-z6tWEgQ7kNvwETliMP&_nc_gid=7riU9bBLKxZrH-JDxi03OA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfU83HG15px7IoHdAqAtMYFJ6C-NOHBsfiZoRKLsp5qwBg&oe=689D18B4&_nc_sid=10d13b,"Google drops 3D world creation in real time with Genie 3 

#videogames #gaming #aitools #chatgpt #deepmind #google #tech #softwareengineer #graphicdesign #veo3 #gamer #aiagent #virtualreality #virtualworld @google @googledeepmind",ZAUEY,zauey.talks,https://www.instagram.com/p/DM_V1lhPB4D/,17,Too bad VR didn’t stick like we thought it would. It’s the race for “personalized” AI now 🤷🏼‍♂️,1392,2025-08-05T22:15:16.000Z,
https://instagram.fykz1-1.fna.fbcdn.net/v/t51.2885-15/528993234_17855308188489946_1816611600429986347_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fykz1-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QGCynY_uuxEY4kNJtcDLnXyfIsGHCqBgcim8TNrW9qkPZmKwDK0nz9V9xvIvfK6Hsc&_nc_ohc=ZvGUCwwWs7QQ7kNvwH7GVVX&_nc_gid=c58zLT4zc1byL4TYnq4pgA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfUZjwU5egnJQNjaYNDmNoqQm29QhVhSqNTxc9ZST8NAiQ&oe=689D142E&_nc_sid=10d13b,"PART ONE - what GPT-5 signals and how the tech ecosystem is reacting 🧠

#gpt5 #chatgpt #openai #machinelearning #softwareengineer #agi #aimodel #claude #coding #vibecoding #futuretech #technology #samaltman #computerscience #cursor",ZAUEY,zauey.talks,https://www.instagram.com/p/DNFLzKrMLXD/,23,"I hate burst your bubble, but it’s not ChatGPT 5. It’s ChatGPT 4 with a higher context window.",2335,2025-08-08T04:42:57.000Z,
https://scontent-ord5-3.cdninstagram.com/v/t51.2885-15/502444833_1036333528697172_1938717631797862962_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QEMXdDFTi-XN-ZbL8tzMVj5xVgEEpzsf_3v0eabQnH_ML6kPXOyrVtV5KMffcBW2I0&_nc_ohc=yu7EA6U9ycEQ7kNvwEoRUhQ&_nc_gid=5m9-umbfQoe6GTWtmmcVYg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfUuGbLQxoJDZBo_vNbLMwuOd6nsclSaOQXnALB_Bk-pPw&oe=689D2664&_nc_sid=10d13b,Just me?,Jason Cooperson,jasoncooperson,https://www.instagram.com/p/DLQ3wlXtBzF/,14,🙌😂,302,2025-06-24T00:35:24.000Z,
https://instagram.fsdu12-2.fna.fbcdn.net/v/t51.2885-15/523561437_17853442425489946_1474821404197964955_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fsdu12-2.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QHmnH3Y1jKeA8tdXuA3LN6AP7tFyI6JNhYQ4BTLx51GWV1O6fEkoJ4bDMdhnbGVrzI&_nc_ohc=MxTXxIJD9ykQ7kNvwEURa37&_nc_gid=kCPnbaEHB-tCFg44rWLLnQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfV7bQm-wsrgyE4gdSVAfErlPampY44cGGrxBBfiDP_ugA&oe=689D220C&_nc_sid=10d13b,"Regulation is out 🔽 acceleration is in 🔼 
A breakdown of the AI Action Plan and its 90+ policy actions 📝

#siliconvalley #chatgpt #openai #claude #aimodels #techpolicy #government #airegulation #regulation #technology #policy #whitehouse",ZAUEY,zauey.talks,https://www.instagram.com/p/DMegIYlM6MZ/,60,"Technological advances, particularly in automation, artificial intelligence, and decentralized systems like blockchain, are poised to disrupt traditional economic structures, potentially leading to the needless distribution of money or currency. Automation and AI are reducing the need for human labor in many industries, which could result in widespread job displacement and economic inequality, prompting governments and organizations to implement measures like universal basic income (UBI) to redistribute wealth. Blockchain and cryptocurrencies enable peer-to-peer transactions without intermediaries, which could render traditional banking systems less relevant and lead to unregulated or speculative currency flows. Additionally, advancements in digital payment systems and central bank digital currencies (CBDCs) may streamline transactions but could also enable excessive or poorly targeted stimulus distributions, as seen in some pandemic-era relief programs. While these technologies aim to enhance efficiency and access, they risk creating scenarios where currency is distributed without sufficient economic grounding, potentially fueling inflation, speculative bubbles, or misaligned incentives if not carefully managed.",2178,2025-07-24T04:12:10.000Z,
https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/517441465_17851710336496099_4079527748909985361_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QElFREXBDdfXZ3WMkehVC_PxaWzVyYsi_e-KVQgQPR-cZC8_R_lTu6m-J-o68COluk&_nc_ohc=wFJJEBSfLL4Q7kNvwHRIPOA&_nc_gid=HY9hPKFBRo5KTSbchJG4og&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfUV4-eMLPn4QUFd8x6doRUaopJwRNk76nGYbwnwO3kcsw&oe=689CF9E9&_nc_sid=10d13b,"Your resume isn't good enough! 

In the age of AI resume builders, ATS, and easy apply, make sure you're not missing out on your dream career because of an outdated resume! 

Comment ""Resume"" and I'll share the website with you!",Beyond Degree,beyonddegree.ig,https://www.instagram.com/p/DL98b1pBXZ4/,110,Resume,160,2025-07-11T12:43:38.000Z,
https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/526675514_17854318830489946_479197963445308746_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QGlHB2vlIj4BnzxTXZxF1tAzo12SHR4Y9d8qZOykuvVCSE5S9hQ1g8s90ULqba2ccA&_nc_ohc=YUcOu37Dkf0Q7kNvwFqVQ9T&_nc_gid=HAMr6PxaclQlm-xQJGbQDA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfWM0YKfOXib2NuG9g91k0CcaqvflwjYBsM5zH2e84YHgQ&oe=689D1CE6&_nc_sid=10d13b,"New research from @microsoft on which jobs are AI safe? 

Top 10 Jobs Most at Risk from AI
(Highest AI applicability scores, most likely to be automated or heavily augmented)

Interpreters and Translators – 0.49
Historians – 0.48
Passenger Attendants – 0.47
Sales Representatives of Services – 0.46
Writers and Authors – 0.45
Customer Service Representatives – 0.44
CNC Tool Programmers – 0.44
Telephone Operators – 0.42
Ticket Agents and Travel Clerks – 0.41
Broadcast Announcers and Radio DJs – 0.41

➡️ Common traits: language-heavy, routine communication, rule-based problem-solving — areas where AI tools thrive.

Top 10 Jobs Most Insulated from AI
(Lowest AI applicability scores, least likely to be impacted)

Phlebotomists – 0.03
Nursing Assistants – 0.03
Hazardous Materials Removal Workers – 0.03
Helpers–Painters, Plasterers, etc. – 0.03
Embalmers – 0.03
Plant and System Operators, All Other – 0.03
Oral and Maxillofacial Surgeons – 0.03
Automotive Glass Installers and Repairers – 0.03
Ship Engineers – 0.03
Tire Repairers and Changers – 0.02

➡️ Common traits: physical/manual labor, fine-motor tasks, high-stakes real-world environments — areas where AI still struggles to replace human skill. 

#techjobs #microsoft #economics #economist #airesearch #jobsearch #aijobs #copilot #labormarket #employee #nursing #sales #techsales #careercoach",ZAUEY,zauey.talks,https://www.instagram.com/p/DMwhmIcMb3d/,62,❤️‍🔥❤️‍🔥❤️‍🔥,3423,2025-07-31T04:09:14.000Z,
https://instagram.fbhx4-1.fna.fbcdn.net/v/t51.2885-15/526009522_18520906813013392_7596993786989040327_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fbhx4-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QH4SeDDZGf131VX8AprlyhOnWErHPe9udyxXpMoyykiwy4u-Fdx1n1K_bvb55BS1qg&_nc_ohc=ntthIMrQ6mgQ7kNvwGD0l-5&_nc_gid=6rIJkfATizRO6twX68Jtiw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfV-k2TOhPMSoACZDxcwdw5CkJQrAm2B-X6Uq1gvNWVxfA&oe=689CFE45&_nc_sid=10d13b,"Let’s talk about everything I’ve done to my face over the years—from Botox to fillers to lasers.

I’m a master esthetician, so I’ve had access to try treatments early and often—but I’ve also made mistakes, learned lessons, and shifted my perspective over time.

In this video I break down what I’ve had done, what I don’t regret, and what I’d approach differently if I could go back.

If you’re exploring skincare, aesthetics, or injectables—this is your no-gatekeeping breakdown 🫶🏽

Tag a bestie who’s been curious about Botox or filler

And let me know in the comments—what’s one treatment you’ve always been curious about but haven’t tried yet?

@maintenance.bar 
@aestheticianjamie 
@resting.botox.face 
.
.
.
.
.
.
.
.
.
.
.
.
#seattleinfluencer #injectables #thingsivedone #botox #seattlebotox #transparency","Jamie Gabrielle | Seattle Beauty, Fashion & Travel Influencer",jamieegabrielle,https://www.instagram.com/p/DM0R-rRRQgx/,97,Who does your lip fillers? They’re GORGEOUS,1133,2025-08-01T15:10:42.000Z,
